parameter_name,date_local,units_of_measure,arithmetic_mean,cbsa_name
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0.003,Pittsburgh PA
Ethylene dibromide,2013,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Lead PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00228,
Benzene,2016,Parts per billion Carbon,0.413913,Chicago-Naperville-Elgin IL-IN-WI
Nickel PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00013,Redding CA
Lead PM10 STP,2008,Micrograms/cubic meter (25 C),0.0163,Detroit-Warren-Dearborn MI
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Santa Maria-Santa Barbara CA
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0.0127,San Juan-Carolina-Caguas PR
Acrolein - Unverified,2006,Parts per billion Carbon,0,St. Louis MO-IL
Chromium (TSP) STP,1992,Micrograms/cubic meter (25 C),0.003,Stockton-Lodi CA
cis-13-Dichloropropene,2008,Parts per billion Carbon,0,Baltimore-Columbia-Towson MD
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,
Nickel PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Idaho Falls ID
Lead PM10 STP,1994,Micrograms/cubic meter (25 C),0.01,Kalamazoo-Portage MI
Trichloroethylene,2006,Parts per billion Carbon,0.01,El Paso TX
Tetrachloroethylene,2000,Parts per billion Carbon,0,Longview TX
13-Butadiene,2002,Parts per billion Carbon,0.595455,El Paso TX
Chromium PM2.5 LC,2001,Micrograms/cubic meter (LC),0,
Chloroform,2011,Parts per billion Carbon,0.01,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2002,Micrograms/cubic meter (LC),0.0043,New York-Newark-Jersey City NY-NJ-PA
Carbon tetrachloride,2016,Parts per billion Carbon,0.1,Weirton-Steubenville WV-OH
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Ellensburg WA
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0,St. Louis MO-IL
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0.0036,Jasper IN
Ethylene dibromide,2007,Parts per billion Carbon,0,Richmond VA
Benzene,2006,Parts per billion Carbon,1.2,Baltimore-Columbia-Towson MD
